rec_id,code_expr,role,centralite,condition,portee,justification
GM2026-V-COMP-02,I33.0,regi,exemple,,,
GM2026-V-COMP-02,S66,regi,exemple,,,
GM2026-V-COMP-02,I80.8,regi,exemple,,,
GM2026-V-COMP-02,S27.01,regi,exemple,,,
GM2026-V-COMP-02,J18.9,regi,exemple,,,
GM2026-V-COMP-02,K25.3,regi,exemple,,,
GM2026-V-COMP-02,I21,regi,exemple,,,
GM2026-V-COMP-03,Y83-Y84,DAS,sujet,réaction anormale ou complication ultérieure sans mention d'accident (aléa),,
GM2026-V-COMP-03,Y60-Y69,DAS,sujet,accident au cours de l'acte,,
GM2026-V-COMP-03,Y70-Y82,DAS,sujet,appareil médical associé à un accident,,
GM2026-V-COMP-03,Y88,DAS,sujet,complication séquelle d'un acte antérieur,,
GM2026-V-COMP-03,Y95,DAS,sujet,"acte effectué en établissement d'hospitalisation, en tant que de besoin",,
GM2026-V-COMP-04,T80.2,interdit_DP,sujet,,,
GM2026-V-COMP-04,T81.2,interdit_DP,sujet,,,
GM2026-V-COMP-04,T81.4,interdit_DP,sujet,,,
GM2026-V-COMP-04,T88.0,interdit_DP,sujet,,,
GM2026-V-COMP-04,T88.1,interdit_DP,sujet,,,
GM2026-V-COMP-04,T88.7,interdit_DP,sujet,,,
GM2026-V-COMP-04,T81.3,interdit_DP,sujet,,,
GM2026-V-COMP-04,T85.5,interdit_DP,sujet,,,
GM2026-V-COMP-04,T86.0,interdit_DP,sujet,,,
GM2026-V-COMP-04,T86.8,interdit_DP,sujet,,,
GM2026-V-COMP-05,I97.2,regi,exemple,,,
GM2026-V-COMP-05,J95.1,regi,exemple,,,
GM2026-V-COMP-05,K43.1,regi,exemple,,,
GM2026-V-COMP-05,K43.5,regi,exemple,,,
GM2026-V-COMP-05,I97.8,regi,exemple,,,
GM2026-V-COMP-05,J95.8,regi,exemple,,,
GM2026-V-COMP-05,K91.8,regi,exemple,,,
GM2026-V-COMP-06,O03-O06,regi,sujet,"grossesse terminée par un avortement, quatrième caractère",,
GM2026-V-COMP-06,O08,regi,sujet,grossesse terminée par un avortement,,
GM2026-V-COMP-06,O29,regi,sujet,,,
GM2026-V-COMP-06,O74,regi,sujet,,,
GM2026-V-COMP-06,O35.7,regi,exemple,,,
GM2026-V-COMP-06,O75.4,regi,exemple,,,
GM2026-V-COMP-06,O86.0,regi,exemple,,,
GM2026-V-COMP-06,O90.0-O90.2,regi,exemple,,,
GM2026-V-CYS-01,N30.0,regi,sujet,signes fonctionnels + pyurie (± bactériurie) et mention au dossier,,
GM2026-V-CYS-01,N39.0,regi,sujet,"arguments de cystite manquants, ou bactériurie isolée",,
GM2026-V-DIA-01,E11.00,regi,sujet,,,
GM2026-V-DIA-01,E11.10,regi,sujet,,,
GM2026-V-DIA-01,E11.20,regi,sujet,,,
GM2026-V-DIA-01,E11.30,regi,sujet,,,
GM2026-V-DIA-01,E11.40,regi,sujet,,,
GM2026-V-DIA-01,E11.50,regi,sujet,,,
GM2026-V-DIA-01,E11.60,regi,sujet,,,
GM2026-V-DIA-01,E11.70,regi,sujet,,,
GM2026-V-DIA-01,E11.80,regi,sujet,,,
GM2026-V-DIA-01,E11.90,regi,sujet,,,
GM2026-V-DOU-01,R52.2,regi,sujet,,,
GM2026-V-EFN-01,T36-T50,regi,sujet,intoxication accidentelle ou volontaire,,
GM2026-V-EFN-01,X40-X44,DAS,sujet,intoxication accidentelle,,
GM2026-V-EFN-01,X60-X64,DAS,sujet,intoxication volontaire,,
GM2026-V-EFN-02,R40,interdit_DP,sujet,cause identifiée : intoxication médicamenteuse,,
GM2026-V-EFN-02,T42,regi,exemple,,,
GM2026-V-EFN-03,T36-T50,interdit,sujet,effet indésirable d'une substance appropriée administrée correctement,,
GM2026-V-EFN-03,Y40-Y59,regi,sujet,,,
GM2026-V-EFN-03,R00.1,regi,exemple,,,
GM2026-V-EFN-03,K29.1,regi,exemple,,,
GM2026-V-EFN-04,T36-T50,interdit,sujet,« surdosage » avec prescription respectée,,
GM2026-V-B95-01,B95-B98,DAS,sujet,"infection présente, classée hors chapitre I",,
GM2026-V-B95-01,I33.0,regi,exemple,,,
GM2026-V-B95-01,J32.0,regi,exemple,,,
GM2026-V-B95-01,L02,regi,exemple,,,
GM2026-V-B95-01,M86,regi,exemple,,,
GM2026-V-B95-01,N10,regi,exemple,,,
GM2026-V-B95-01,R18,regi,exemple,,,
GM2026-V-B95-02,Z22,regi,sujet,colonisation sans infection,,
GM2026-V-O80-01,O81.0-O84.9,interdit_DP,sujet,,,
GM2026-V-O80-01,XV,regi,sujet,accouchement instrumental — choix du DP,ensemble,« parmi les autres codes du chapitre XV » : domaine du choix du DP de remplacement — la consigne ne régit pas chaque code du chapitre XV (précédent AVC-14)
GM2026-V-P00-01,P00-P04,regi,sujet,état maternel cause de soins supplémentaires au nouveau-né (présumés si affection répertoriée),,
GM2026-V-P00-01,P03.4,regi,sujet,nouveau-né extrait par césarienne — mention systématique licite,,
GM2026-V-ENF-02,P95,DP,sujet,enfant né sans vie,,
GM2026-V-GRA-01,R26.30,regi,sujet,"chronicité, tous les besoins de la définition atteints",,
GM2026-V-HEM-01,D18,regi,sujet,hémangiome ou lymphangiome superficiel (téguments),,
GM2026-V-HEM-01,D12.2,regi,exemple,,,
GM2026-V-HEM-01,D18.0,regi,exemple,,,
GM2026-V-HYP-01,R03.1,regi,sujet,,,
GM2026-V-HYP-02,I95.0,regi,sujet,diagnostic établi de maladie hypotensive chronique,,
GM2026-V-HYP-02,I95.1,regi,sujet,diagnostic établi de maladie hypotensive chronique,,
GM2026-V-HYP-02,I95.8,regi,sujet,diagnostic établi de maladie hypotensive chronique,,
GM2026-V-HYP-02,G23.8,regi,sujet,hypotension intégrée à un syndrome de Shy et Drager,,
GM2026-V-IDM-01,I21.08,regi,sujet,prise en charge autre que la première prise en charge thérapeutique,,
GM2026-V-IDM-01,I21.18,regi,sujet,prise en charge autre que la première prise en charge thérapeutique,,
GM2026-V-IDM-01,I21.28,regi,sujet,prise en charge autre que la première prise en charge thérapeutique,,
GM2026-V-IDM-01,I21.38,regi,sujet,prise en charge autre que la première prise en charge thérapeutique,,
GM2026-V-IDM-01,I21.48,regi,sujet,prise en charge autre que la première prise en charge thérapeutique,,
GM2026-V-IDM-01,I21.98,regi,sujet,prise en charge autre que la première prise en charge thérapeutique,,
GM2026-V-IDM-01,I22.08,regi,sujet,prise en charge autre que la première prise en charge thérapeutique,,
GM2026-V-IDM-01,I22.18,regi,sujet,prise en charge autre que la première prise en charge thérapeutique,,
GM2026-V-IDM-01,I22.88,regi,sujet,prise en charge autre que la première prise en charge thérapeutique,,
GM2026-V-IDM-01,I22.98,regi,sujet,prise en charge autre que la première prise en charge thérapeutique,,
GM2026-V-IRF-01,R39.2,regi,sujet,insuffisance rénale fonctionnelle (prérénale/extrarénale),,
GM2026-V-IRF-01,N17.8,interdit,sujet,insuffisance rénale fonctionnelle — consigne antérieure invalidée,,
GM2026-V-IRF-01,N17,regi,sujet,atteinte organique du tissu rénal,,
GM2026-V-IRF-01,N17.9,regi,sujet,cause extrarénale ou organique incertaine,,
GM2026-V-IRA-01,J96.0,regi,sujet,,,
GM2026-V-IRA-02,J96.1,regi,sujet,,,
GM2026-V-ITG-02,O04.90,DP,sujet,IVG non compliquée,,
GM2026-V-ITG-02,O07.4,DP,sujet,IVG non compliquée,,
GM2026-V-ITG-02,O07.9,DP,sujet,IVG non compliquée,,
GM2026-V-ITG-02,Z64.0,regi,sujet,plus recherché pour l'orientation 14Z08Z,,
GM2026-V-ITG-04,O04,regi,sujet,complication codée par le quatrième caractère,,
GM2026-V-ITG-04,O08,DAS,sujet,identification de la nature de la complication,,
GM2026-V-ITG-05,O04.4,DP,sujet,"avortement incomplet, rétention simple non compliquée",,
GM2026-V-ITG-05,O08,DP,sujet,rétention compliquée ou autre complication,,
GM2026-V-ITG-06,O07,DP,sujet,échec d'IVG (poursuite de la grossesse),,
GM2026-V-ITG-07,O04.-1,DP,sujet,cause embryonnaire ou fœtale,,
GM2026-V-ITG-07,O04.-2,DP,sujet,cause maternelle,,
GM2026-V-ITG-07,O04.-3,DP,sujet,association de causes,,
GM2026-V-ITG-07,O35,DAS,sujet,motif de l'IMG classé au chapitre XV,,
GM2026-V-ITG-07,O98,DAS,sujet,motif de l'IMG hors chapitre XV,,
GM2026-V-ITG-07,O99,DAS,sujet,motif de l'IMG hors chapitre XV,,
GM2026-V-ITG-08,O35,DP,sujet,"IMG ≥ 22 SA, cause fœtale",,
GM2026-V-ITG-08,O98,DP,sujet,"IMG ≥ 22 SA, cause maternelle hors chapitre XV",,
GM2026-V-ITG-08,O99,DP,sujet,"IMG ≥ 22 SA, cause maternelle hors chapitre XV",,
GM2026-V-ITG-08,Z37,DAS,sujet,"par convention, code étendu (résultat de l'accouchement)",,
GM2026-V-ITG-08,Z37.11,regi,exemple,,,
GM2026-V-ITG-09,P95,DP,sujet,produit d'IMG ≥ 22 SA ou ≥ 500 g,,
