code_maitre,cle,classe,sous_classe,code_atih,libelle
M14.11,M1411,ATIH s'arrête à un niveau supérieur,préfixe ATIH M141 (type MCO 0),M141,"Arthropathie à microcristaux au cours d'autres troubles métaboliques classés ailleurs - "" Région scapulaire """
M14.12,M1412,ATIH s'arrête à un niveau supérieur,préfixe ATIH M141 (type MCO 0),M141,"Arthropathie à microcristaux au cours d'autres troubles métaboliques classés ailleurs - "" Bras """
M14.13,M1413,ATIH s'arrête à un niveau supérieur,préfixe ATIH M141 (type MCO 0),M141,"Arthropathie à microcristaux au cours d'autres troubles métaboliques classés ailleurs - "" Avant-bras """
M14.14,M1414,ATIH s'arrête à un niveau supérieur,préfixe ATIH M141 (type MCO 0),M141,"Arthropathie à microcristaux au cours d'autres troubles métaboliques classés ailleurs - "" Main """
M14.15,M1415,ATIH s'arrête à un niveau supérieur,préfixe ATIH M141 (type MCO 0),M141,"Arthropathie à microcristaux au cours d'autres troubles métaboliques classés ailleurs - "" Région pelvienne et cuisse """
M14.16,M1416,ATIH s'arrête à un niveau supérieur,préfixe ATIH M141 (type MCO 0),M141,"Arthropathie à microcristaux au cours d'autres troubles métaboliques classés ailleurs - "" Jambe """
M14.17,M1417,ATIH s'arrête à un niveau supérieur,préfixe ATIH M141 (type MCO 0),M141,"Arthropathie à microcristaux au cours d'autres troubles métaboliques classés ailleurs - "" Cheville et pied """
M14.18,M1418,ATIH s'arrête à un niveau supérieur,préfixe ATIH M141 (type MCO 0),M141,"Arthropathie à microcristaux au cours d'autres troubles métaboliques classés ailleurs - "" Autres """
M14.19,M1419,ATIH s'arrête à un niveau supérieur,préfixe ATIH M141 (type MCO 0),M141,"Arthropathie à microcristaux au cours d'autres troubles métaboliques classés ailleurs - "" Siège non précisé """
M14.20,M1420,ATIH s'arrête à un niveau supérieur,préfixe ATIH M142 (type MCO 0),M142,"Arthropathie diabétique ( (E10-E14)  avec le quatrième caractère .6)  - "" Sièges multiples """
M14.21,M1421,ATIH s'arrête à un niveau supérieur,préfixe ATIH M142 (type MCO 0),M142,"Arthropathie diabétique ( (E10-E14)  avec le quatrième caractère .6)  - "" Région scapulaire """
M14.22,M1422,ATIH s'arrête à un niveau supérieur,préfixe ATIH M142 (type MCO 0),M142,"Arthropathie diabétique ( (E10-E14)  avec le quatrième caractère .6)  - "" Bras """
M14.23,M1423,ATIH s'arrête à un niveau supérieur,préfixe ATIH M142 (type MCO 0),M142,"Arthropathie diabétique ( (E10-E14)  avec le quatrième caractère .6)  - "" Avant-bras """
M14.24,M1424,ATIH s'arrête à un niveau supérieur,préfixe ATIH M142 (type MCO 0),M142,"Arthropathie diabétique ( (E10-E14)  avec le quatrième caractère .6)  - "" Main """
M14.25,M1425,ATIH s'arrête à un niveau supérieur,préfixe ATIH M142 (type MCO 0),M142,"Arthropathie diabétique ( (E10-E14)  avec le quatrième caractère .6)  - "" Région pelvienne et cuisse """
M14.26,M1426,ATIH s'arrête à un niveau supérieur,préfixe ATIH M142 (type MCO 0),M142,"Arthropathie diabétique ( (E10-E14)  avec le quatrième caractère .6)  - "" Jambe """
M14.27,M1427,ATIH s'arrête à un niveau supérieur,préfixe ATIH M142 (type MCO 0),M142,"Arthropathie diabétique ( (E10-E14)  avec le quatrième caractère .6)  - "" Cheville et pied """
M14.28,M1428,ATIH s'arrête à un niveau supérieur,préfixe ATIH M142 (type MCO 0),M142,"Arthropathie diabétique ( (E10-E14)  avec le quatrième caractère .6)  - "" Autres """
M14.29,M1429,ATIH s'arrête à un niveau supérieur,préfixe ATIH M142 (type MCO 0),M142,"Arthropathie diabétique ( (E10-E14)  avec le quatrième caractère .6)  - "" Siège non précisé """
M14.30,M1430,ATIH s'arrête à un niveau supérieur,préfixe ATIH M143 (type MCO 0),M143,"Dermatoarthrite lipoïde (E78.8)   - "" Sièges multiples """
M14.31,M1431,ATIH s'arrête à un niveau supérieur,préfixe ATIH M143 (type MCO 0),M143,"Dermatoarthrite lipoïde (E78.8)   - "" Région scapulaire """
M14.32,M1432,ATIH s'arrête à un niveau supérieur,préfixe ATIH M143 (type MCO 0),M143,"Dermatoarthrite lipoïde (E78.8)   - "" Bras """
M14.33,M1433,ATIH s'arrête à un niveau supérieur,préfixe ATIH M143 (type MCO 0),M143,"Dermatoarthrite lipoïde (E78.8)   - "" Avant-bras """
M14.34,M1434,ATIH s'arrête à un niveau supérieur,préfixe ATIH M143 (type MCO 0),M143,"Dermatoarthrite lipoïde (E78.8)   - "" Main """
M14.35,M1435,ATIH s'arrête à un niveau supérieur,préfixe ATIH M143 (type MCO 0),M143,"Dermatoarthrite lipoïde (E78.8)   - "" Région pelvienne et cuisse """
M14.36,M1436,ATIH s'arrête à un niveau supérieur,préfixe ATIH M143 (type MCO 0),M143,"Dermatoarthrite lipoïde (E78.8)   - "" Jambe """
M14.37,M1437,ATIH s'arrête à un niveau supérieur,préfixe ATIH M143 (type MCO 0),M143,"Dermatoarthrite lipoïde (E78.8)   - "" Cheville et pied """
M14.38,M1438,ATIH s'arrête à un niveau supérieur,préfixe ATIH M143 (type MCO 0),M143,"Dermatoarthrite lipoïde (E78.8)   - "" Autres """
M14.39,M1439,ATIH s'arrête à un niveau supérieur,préfixe ATIH M143 (type MCO 0),M143,"Dermatoarthrite lipoïde (E78.8)   - "" Siège non précisé """
M14.40,M1440,ATIH s'arrête à un niveau supérieur,préfixe ATIH M144 (type MCO 0),M144,"Arthropathie au cours d'amylose (E85.-)   - "" Sièges multiples """
M14.41,M1441,ATIH s'arrête à un niveau supérieur,préfixe ATIH M144 (type MCO 0),M144,"Arthropathie au cours d'amylose (E85.-)   - "" Région scapulaire """
M14.42,M1442,ATIH s'arrête à un niveau supérieur,préfixe ATIH M144 (type MCO 0),M144,"Arthropathie au cours d'amylose (E85.-)   - "" Bras """
M14.43,M1443,ATIH s'arrête à un niveau supérieur,préfixe ATIH M144 (type MCO 0),M144,"Arthropathie au cours d'amylose (E85.-)   - "" Avant-bras """
M14.44,M1444,ATIH s'arrête à un niveau supérieur,préfixe ATIH M144 (type MCO 0),M144,"Arthropathie au cours d'amylose (E85.-)   - "" Main """
M14.45,M1445,ATIH s'arrête à un niveau supérieur,préfixe ATIH M144 (type MCO 0),M144,"Arthropathie au cours d'amylose (E85.-)   - "" Région pelvienne et cuisse """
M14.46,M1446,ATIH s'arrête à un niveau supérieur,préfixe ATIH M144 (type MCO 0),M144,"Arthropathie au cours d'amylose (E85.-)   - "" Jambe """
M14.47,M1447,ATIH s'arrête à un niveau supérieur,préfixe ATIH M144 (type MCO 0),M144,"Arthropathie au cours d'amylose (E85.-)   - "" Cheville et pied """
M14.48,M1448,ATIH s'arrête à un niveau supérieur,préfixe ATIH M144 (type MCO 0),M144,"Arthropathie au cours d'amylose (E85.-)   - "" Autres """
M14.49,M1449,ATIH s'arrête à un niveau supérieur,préfixe ATIH M144 (type MCO 0),M144,"Arthropathie au cours d'amylose (E85.-)   - "" Siège non précisé """
M14.50,M1450,ATIH s'arrête à un niveau supérieur,préfixe ATIH M145 (type MCO 0),M145,"Arthropathie au cours d'autres maladies endocriniennes, nutritionnelles et métaboliques - "" Sièges multiples """
M14.51,M1451,ATIH s'arrête à un niveau supérieur,préfixe ATIH M145 (type MCO 0),M145,"Arthropathie au cours d'autres maladies endocriniennes, nutritionnelles et métaboliques - "" Région scapulaire """
M14.52,M1452,ATIH s'arrête à un niveau supérieur,préfixe ATIH M145 (type MCO 0),M145,"Arthropathie au cours d'autres maladies endocriniennes, nutritionnelles et métaboliques - "" Bras """
M14.53,M1453,ATIH s'arrête à un niveau supérieur,préfixe ATIH M145 (type MCO 0),M145,"Arthropathie au cours d'autres maladies endocriniennes, nutritionnelles et métaboliques - "" Avant-bras """
M14.54,M1454,ATIH s'arrête à un niveau supérieur,préfixe ATIH M145 (type MCO 0),M145,"Arthropathie au cours d'autres maladies endocriniennes, nutritionnelles et métaboliques - "" Main """
M14.55,M1455,ATIH s'arrête à un niveau supérieur,préfixe ATIH M145 (type MCO 0),M145,"Arthropathie au cours d'autres maladies endocriniennes, nutritionnelles et métaboliques - "" Région pelvienne et cuisse """
M14.56,M1456,ATIH s'arrête à un niveau supérieur,préfixe ATIH M145 (type MCO 0),M145,"Arthropathie au cours d'autres maladies endocriniennes, nutritionnelles et métaboliques - "" Jambe """
M14.57,M1457,ATIH s'arrête à un niveau supérieur,préfixe ATIH M145 (type MCO 0),M145,"Arthropathie au cours d'autres maladies endocriniennes, nutritionnelles et métaboliques - "" Cheville et pied """
M14.58,M1458,ATIH s'arrête à un niveau supérieur,préfixe ATIH M145 (type MCO 0),M145,"Arthropathie au cours d'autres maladies endocriniennes, nutritionnelles et métaboliques - "" Autres """
M14.59,M1459,ATIH s'arrête à un niveau supérieur,préfixe ATIH M145 (type MCO 0),M145,"Arthropathie au cours d'autres maladies endocriniennes, nutritionnelles et métaboliques - "" Siège non précisé """
M14.60,M1460,ATIH s'arrête à un niveau supérieur,préfixe ATIH M146 (type MCO 0),M146,"Arthropathie nerveuse - "" Sièges multiples """
M14.61,M1461,ATIH s'arrête à un niveau supérieur,préfixe ATIH M146 (type MCO 0),M146,"Arthropathie nerveuse - "" Région scapulaire """
M14.62,M1462,ATIH s'arrête à un niveau supérieur,préfixe ATIH M146 (type MCO 0),M146,"Arthropathie nerveuse - "" Bras """
M14.63,M1463,ATIH s'arrête à un niveau supérieur,préfixe ATIH M146 (type MCO 0),M146,"Arthropathie nerveuse - "" Avant-bras """
M14.64,M1464,ATIH s'arrête à un niveau supérieur,préfixe ATIH M146 (type MCO 0),M146,"Arthropathie nerveuse - "" Main """
M14.65,M1465,ATIH s'arrête à un niveau supérieur,préfixe ATIH M146 (type MCO 0),M146,"Arthropathie nerveuse - "" Région pelvienne et cuisse """
M14.66,M1466,ATIH s'arrête à un niveau supérieur,préfixe ATIH M146 (type MCO 0),M146,"Arthropathie nerveuse - "" Jambe """
M14.67,M1467,ATIH s'arrête à un niveau supérieur,préfixe ATIH M146 (type MCO 0),M146,"Arthropathie nerveuse - "" Cheville et pied """
M14.68,M1468,ATIH s'arrête à un niveau supérieur,préfixe ATIH M146 (type MCO 0),M146,"Arthropathie nerveuse - "" Autres """
M14.69,M1469,ATIH s'arrête à un niveau supérieur,préfixe ATIH M146 (type MCO 0),M146,"Arthropathie nerveuse - "" Siège non précisé """
M14.80,M1480,ATIH s'arrête à un niveau supérieur,préfixe ATIH M148 (type MCO 0),M148,"Arthropathie au cours d'autres maladies précisées classées ailleurs - "" Sièges multiples """
M14.81,M1481,ATIH s'arrête à un niveau supérieur,préfixe ATIH M148 (type MCO 0),M148,"Arthropathie au cours d'autres maladies précisées classées ailleurs - "" Région scapulaire """
M14.82,M1482,ATIH s'arrête à un niveau supérieur,préfixe ATIH M148 (type MCO 0),M148,"Arthropathie au cours d'autres maladies précisées classées ailleurs - "" Bras """
M14.83,M1483,ATIH s'arrête à un niveau supérieur,préfixe ATIH M148 (type MCO 0),M148,"Arthropathie au cours d'autres maladies précisées classées ailleurs - "" Avant-bras """
M14.84,M1484,ATIH s'arrête à un niveau supérieur,préfixe ATIH M148 (type MCO 0),M148,"Arthropathie au cours d'autres maladies précisées classées ailleurs - "" Main """
M14.85,M1485,ATIH s'arrête à un niveau supérieur,préfixe ATIH M148 (type MCO 0),M148,"Arthropathie au cours d'autres maladies précisées classées ailleurs - "" Région pelvienne et cuisse """
M14.86,M1486,ATIH s'arrête à un niveau supérieur,préfixe ATIH M148 (type MCO 0),M148,"Arthropathie au cours d'autres maladies précisées classées ailleurs - "" Jambe """
M14.87,M1487,ATIH s'arrête à un niveau supérieur,préfixe ATIH M148 (type MCO 0),M148,"Arthropathie au cours d'autres maladies précisées classées ailleurs - "" Cheville et pied """
M14.88,M1488,ATIH s'arrête à un niveau supérieur,préfixe ATIH M148 (type MCO 0),M148,"Arthropathie au cours d'autres maladies précisées classées ailleurs - "" Autres """
M14.89,M1489,ATIH s'arrête à un niveau supérieur,préfixe ATIH M148 (type MCO 0),M148,"Arthropathie au cours d'autres maladies précisées classées ailleurs - "" Siège non précisé """
M15.00,M1500,ATIH s'arrête à un niveau supérieur,préfixe ATIH M150 (type MCO 0),M150,"(Ostéo)arthrose primaire généralisée - "" Sièges multiples """
M15.01,M1501,ATIH s'arrête à un niveau supérieur,préfixe ATIH M150 (type MCO 0),M150,"(Ostéo)arthrose primaire généralisée - "" Région scapulaire """
M15.02,M1502,ATIH s'arrête à un niveau supérieur,préfixe ATIH M150 (type MCO 0),M150,"(Ostéo)arthrose primaire généralisée - "" Bras """
M15.03,M1503,ATIH s'arrête à un niveau supérieur,préfixe ATIH M150 (type MCO 0),M150,"(Ostéo)arthrose primaire généralisée - "" Avant-bras """
M15.04,M1504,ATIH s'arrête à un niveau supérieur,préfixe ATIH M150 (type MCO 0),M150,"(Ostéo)arthrose primaire généralisée - "" Main """
M15.05,M1505,ATIH s'arrête à un niveau supérieur,préfixe ATIH M150 (type MCO 0),M150,"(Ostéo)arthrose primaire généralisée - "" Région pelvienne et cuisse """
M15.06,M1506,ATIH s'arrête à un niveau supérieur,préfixe ATIH M150 (type MCO 0),M150,"(Ostéo)arthrose primaire généralisée - "" Jambe """
M15.07,M1507,ATIH s'arrête à un niveau supérieur,préfixe ATIH M150 (type MCO 0),M150,"(Ostéo)arthrose primaire généralisée - "" Cheville et pied """
M15.08,M1508,ATIH s'arrête à un niveau supérieur,préfixe ATIH M150 (type MCO 0),M150,"(Ostéo)arthrose primaire généralisée - "" Autres """
M15.09,M1509,ATIH s'arrête à un niveau supérieur,préfixe ATIH M150 (type MCO 0),M150,"(Ostéo)arthrose primaire généralisée - "" Siège non précisé """
M15.10,M1510,ATIH s'arrête à un niveau supérieur,préfixe ATIH M151 (type MCO 0),M151,"Nodosités d'Heberden (avec arthropathie) - "" Sièges multiples """
M15.11,M1511,ATIH s'arrête à un niveau supérieur,préfixe ATIH M151 (type MCO 0),M151,"Nodosités d'Heberden (avec arthropathie) - "" Région scapulaire """
M15.12,M1512,ATIH s'arrête à un niveau supérieur,préfixe ATIH M151 (type MCO 0),M151,"Nodosités d'Heberden (avec arthropathie) - "" Bras """
M15.13,M1513,ATIH s'arrête à un niveau supérieur,préfixe ATIH M151 (type MCO 0),M151,"Nodosités d'Heberden (avec arthropathie) - "" Avant-bras """
M15.14,M1514,ATIH s'arrête à un niveau supérieur,préfixe ATIH M151 (type MCO 0),M151,"Nodosités d'Heberden (avec arthropathie) - "" Main """
M15.15,M1515,ATIH s'arrête à un niveau supérieur,préfixe ATIH M151 (type MCO 0),M151,"Nodosités d'Heberden (avec arthropathie) - "" Région pelvienne et cuisse """
M15.16,M1516,ATIH s'arrête à un niveau supérieur,préfixe ATIH M151 (type MCO 0),M151,"Nodosités d'Heberden (avec arthropathie) - "" Jambe """
M15.17,M1517,ATIH s'arrête à un niveau supérieur,préfixe ATIH M151 (type MCO 0),M151,"Nodosités d'Heberden (avec arthropathie) - "" Cheville et pied """
M15.18,M1518,ATIH s'arrête à un niveau supérieur,préfixe ATIH M151 (type MCO 0),M151,"Nodosités d'Heberden (avec arthropathie) - "" Autres """
M15.19,M1519,ATIH s'arrête à un niveau supérieur,préfixe ATIH M151 (type MCO 0),M151,"Nodosités d'Heberden (avec arthropathie) - "" Siège non précisé """
M15.20,M1520,ATIH s'arrête à un niveau supérieur,préfixe ATIH M152 (type MCO 0),M152,"Nodosités de Bouchard (avec arthropathie) - "" Sièges multiples """
M15.21,M1521,ATIH s'arrête à un niveau supérieur,préfixe ATIH M152 (type MCO 0),M152,"Nodosités de Bouchard (avec arthropathie) - "" Région scapulaire """
M15.22,M1522,ATIH s'arrête à un niveau supérieur,préfixe ATIH M152 (type MCO 0),M152,"Nodosités de Bouchard (avec arthropathie) - "" Bras """
M15.23,M1523,ATIH s'arrête à un niveau supérieur,préfixe ATIH M152 (type MCO 0),M152,"Nodosités de Bouchard (avec arthropathie) - "" Avant-bras """
M15.24,M1524,ATIH s'arrête à un niveau supérieur,préfixe ATIH M152 (type MCO 0),M152,"Nodosités de Bouchard (avec arthropathie) - "" Main """
M15.25,M1525,ATIH s'arrête à un niveau supérieur,préfixe ATIH M152 (type MCO 0),M152,"Nodosités de Bouchard (avec arthropathie) - "" Région pelvienne et cuisse """
M15.26,M1526,ATIH s'arrête à un niveau supérieur,préfixe ATIH M152 (type MCO 0),M152,"Nodosités de Bouchard (avec arthropathie) - "" Jambe """
M15.27,M1527,ATIH s'arrête à un niveau supérieur,préfixe ATIH M152 (type MCO 0),M152,"Nodosités de Bouchard (avec arthropathie) - "" Cheville et pied """
M15.28,M1528,ATIH s'arrête à un niveau supérieur,préfixe ATIH M152 (type MCO 0),M152,"Nodosités de Bouchard (avec arthropathie) - "" Autres """
M15.29,M1529,ATIH s'arrête à un niveau supérieur,préfixe ATIH M152 (type MCO 0),M152,"Nodosités de Bouchard (avec arthropathie) - "" Siège non précisé """
M15.30,M1530,ATIH s'arrête à un niveau supérieur,préfixe ATIH M153 (type MCO 0),M153,"Arthrose secondaire multiple - "" Sièges multiples """
M15.31,M1531,ATIH s'arrête à un niveau supérieur,préfixe ATIH M153 (type MCO 0),M153,"Arthrose secondaire multiple - "" Région scapulaire """
M15.32,M1532,ATIH s'arrête à un niveau supérieur,préfixe ATIH M153 (type MCO 0),M153,"Arthrose secondaire multiple - "" Bras """
M15.33,M1533,ATIH s'arrête à un niveau supérieur,préfixe ATIH M153 (type MCO 0),M153,"Arthrose secondaire multiple - "" Avant-bras """
M15.34,M1534,ATIH s'arrête à un niveau supérieur,préfixe ATIH M153 (type MCO 0),M153,"Arthrose secondaire multiple - "" Main """
M15.35,M1535,ATIH s'arrête à un niveau supérieur,préfixe ATIH M153 (type MCO 0),M153,"Arthrose secondaire multiple - "" Région pelvienne et cuisse """
M15.36,M1536,ATIH s'arrête à un niveau supérieur,préfixe ATIH M153 (type MCO 0),M153,"Arthrose secondaire multiple - "" Jambe """
M15.37,M1537,ATIH s'arrête à un niveau supérieur,préfixe ATIH M153 (type MCO 0),M153,"Arthrose secondaire multiple - "" Cheville et pied """
M15.38,M1538,ATIH s'arrête à un niveau supérieur,préfixe ATIH M153 (type MCO 0),M153,"Arthrose secondaire multiple - "" Autres """
M15.39,M1539,ATIH s'arrête à un niveau supérieur,préfixe ATIH M153 (type MCO 0),M153,"Arthrose secondaire multiple - "" Siège non précisé """
M15.40,M1540,ATIH s'arrête à un niveau supérieur,préfixe ATIH M154 (type MCO 0),M154,"(Ostéo)arthrose érosive - "" Sièges multiples """
M15.41,M1541,ATIH s'arrête à un niveau supérieur,préfixe ATIH M154 (type MCO 0),M154,"(Ostéo)arthrose érosive - "" Région scapulaire """
M15.42,M1542,ATIH s'arrête à un niveau supérieur,préfixe ATIH M154 (type MCO 0),M154,"(Ostéo)arthrose érosive - "" Bras """
M15.43,M1543,ATIH s'arrête à un niveau supérieur,préfixe ATIH M154 (type MCO 0),M154,"(Ostéo)arthrose érosive - "" Avant-bras """
M15.44,M1544,ATIH s'arrête à un niveau supérieur,préfixe ATIH M154 (type MCO 0),M154,"(Ostéo)arthrose érosive - "" Main """
M15.45,M1545,ATIH s'arrête à un niveau supérieur,préfixe ATIH M154 (type MCO 0),M154,"(Ostéo)arthrose érosive - "" Région pelvienne et cuisse """
M15.46,M1546,ATIH s'arrête à un niveau supérieur,préfixe ATIH M154 (type MCO 0),M154,"(Ostéo)arthrose érosive - "" Jambe """
M15.47,M1547,ATIH s'arrête à un niveau supérieur,préfixe ATIH M154 (type MCO 0),M154,"(Ostéo)arthrose érosive - "" Cheville et pied """
M15.48,M1548,ATIH s'arrête à un niveau supérieur,préfixe ATIH M154 (type MCO 0),M154,"(Ostéo)arthrose érosive - "" Autres """
M15.49,M1549,ATIH s'arrête à un niveau supérieur,préfixe ATIH M154 (type MCO 0),M154,"(Ostéo)arthrose érosive - "" Siège non précisé """
M15.80,M1580,ATIH s'arrête à un niveau supérieur,préfixe ATIH M158 (type MCO 0),M158,"Autres polyarthroses - "" Sièges multiples """
M15.81,M1581,ATIH s'arrête à un niveau supérieur,préfixe ATIH M158 (type MCO 0),M158,"Autres polyarthroses - "" Région scapulaire """
M15.82,M1582,ATIH s'arrête à un niveau supérieur,préfixe ATIH M158 (type MCO 0),M158,"Autres polyarthroses - "" Bras """
M15.83,M1583,ATIH s'arrête à un niveau supérieur,préfixe ATIH M158 (type MCO 0),M158,"Autres polyarthroses - "" Avant-bras """
M15.84,M1584,ATIH s'arrête à un niveau supérieur,préfixe ATIH M158 (type MCO 0),M158,"Autres polyarthroses - "" Main """
M15.85,M1585,ATIH s'arrête à un niveau supérieur,préfixe ATIH M158 (type MCO 0),M158,"Autres polyarthroses - "" Région pelvienne et cuisse """
M15.86,M1586,ATIH s'arrête à un niveau supérieur,préfixe ATIH M158 (type MCO 0),M158,"Autres polyarthroses - "" Jambe """
M15.87,M1587,ATIH s'arrête à un niveau supérieur,préfixe ATIH M158 (type MCO 0),M158,"Autres polyarthroses - "" Cheville et pied """
M15.88,M1588,ATIH s'arrête à un niveau supérieur,préfixe ATIH M158 (type MCO 0),M158,"Autres polyarthroses - "" Autres """
M15.89,M1589,ATIH s'arrête à un niveau supérieur,préfixe ATIH M158 (type MCO 0),M158,"Autres polyarthroses - "" Siège non précisé """
M15.90,M1590,ATIH s'arrête à un niveau supérieur,préfixe ATIH M159 (type MCO 0),M159,"Polyarthrose, sans précision - "" Sièges multiples """
M15.91,M1591,ATIH s'arrête à un niveau supérieur,préfixe ATIH M159 (type MCO 0),M159,"Polyarthrose, sans précision - "" Région scapulaire """
