rec_id,millesime,localisation,situation,type,texte,condition
GM2026-V-AVC-17,2026-provisoire,"Guide MCO, chap. V, pp. 78-81, article ACCIDENTS VASCULAIRES CÉRÉBRAUX",AVC — codage de l'étiologie,condition_emploi,L'étiologie ne peut être codée comme diagnostic associé que si elle en respecte la définition. Les étiologies sont classées dans des rubriques diverses de la CIM–10.,Respect de la définition du diagnostic associé
GM2026-V-AVC-18,2026-provisoire,"Guide MCO, chap. V, pp. 78-81, article ACCIDENTS VASCULAIRES CÉRÉBRAUX",AVC — codage des complications,condition_emploi,"Les complications sont codées comme DAS si elles en respectent la définition (par exemple inhalation, épilepsie, escarre, démence vasculaire).",Respect de la définition du DAS
GM2026-V-AVC-19,2026-provisoire,"Guide MCO, chap. V, pp. 78-81, article ACCIDENTS VASCULAIRES CÉRÉBRAUX",AVC constitué à la phase aigüe — périmètre des catégories,definition,"Le codage des AVC constitués fait appel, à la phase aigüe, aux catégories I60 à I63, qui excluent les lésions traumatiques. I60 inclut la rupture d'anévrisme d'artère cérébrale ; I62 inclut l'hémorragie sous-durale et extradurale ; I63 couvre les AVC ischémiques (embolie, thrombose, bas débit).",
GM2026-V-AVC-20,2026-provisoire,"Guide MCO, chap. V, pp. 78-81, article ACCIDENTS VASCULAIRES CÉRÉBRAUX","AVC — extensions ATIH des manifestations (hémiplégie, aphasie)",definition,"G81.0 et R47.0 ont été subdivisés par l'ATIH en 2007 pour distinguer les symptômes selon leur moment d'apparition et leur évolution : G81.00, G81.01, G81.08 ; R47.00, R47.01, R47.02, R47.03. Les mêmes codes servent pour les parésies et les paralysies.",
GM2026-V-D62-01,2026-provisoire,"Guide MCO, chap. V, pp. 81-82, article ANÉMIE POSTHÉMORRAGIQUE AIGÜE APRÈS UNE INTERVENTION",Compensation peropératoire normale des pertes sanguines,interdiction,D62 ne doit pas être mentionné lorsque la transfusion compense les pertes attendues d'une intervention par nature hémorragique,"Restitution volémique conforme aux règles de l'art (SFAR), pertes attendues"
GM2026-V-D62-02,2026-provisoire,"Guide MCO, chap. V, pp. 81-82, article ANÉMIE POSTHÉMORRAGIQUE AIGÜE APRÈS UNE INTERVENTION",Hémorragie périopératoire inhabituelle,condition_emploi,"D62 est employé lorsque l'anémie résulte d'un phénomène hémorragique inhabituel (lésion, complication)",Saignement inhabituel documenté
GM2026-V-D62-03,2026-provisoire,"Guide MCO, chap. V, pp. 81-82, article ANÉMIE POSTHÉMORRAGIQUE AIGÜE APRÈS UNE INTERVENTION",Anémie postopératoire — seuils biologiques de la discussion,definition,"La question de l'emploi de D62 se pose devant un hémogramme postopératoire prouvant une chute de l'hémoglobine en deçà de 13 g/dL chez l'homme, 12 g/dL chez la femme (11 g/dL chez la femme enceinte), chez un adulte jusqu'alors non anémié.",Adulte jusqu'alors non anémié
GM2026-V-DEN-01,2026-provisoire,"Guide MCO, chap. V, pp. 109-114, article MALNUTRITION, DÉNUTRITION",Dénutrition de l'enfant (< 18 ans) — choix du code selon la sévérité,regle_position,"Une dénutrition sévère se code E43 Malnutrition protéino-énergétique grave, sans précision ; une dénutrition modérée se code E44.0 Malnutrition protéino-énergétique modérée.",Patient de moins de 18 ans ; diagnostic de dénutrition posé (au moins 1 critère phénotypique ET 1 critère étiologique)
GM2026-V-DEN-02,2026-provisoire,"Guide MCO, chap. V, pp. 109-114, article MALNUTRITION, DÉNUTRITION",Dénutrition de l'adulte (≥ 18 et < 70 ans) — choix du code selon la sévérité,regle_position,Une dénutrition sévère se code E43 ; une dénutrition modérée se code E44.0.,Patient de 18 à moins de 70 ans ; diagnostic de dénutrition posé
GM2026-V-DEN-03,2026-provisoire,"Guide MCO, chap. V, pp. 109-114, article MALNUTRITION, DÉNUTRITION",Dénutrition de la personne âgée (≥ 70 ans) — choix du code selon la sévérité,regle_position,Une dénutrition sévère se code E43 ; une dénutrition modérée se code E44.0.,Patient de 70 ans et plus ; diagnostic de dénutrition posé
GM2026-V-DEN-04,2026-provisoire,"Guide MCO, chap. V, pp. 109-114, article MALNUTRITION, DÉNUTRITION",Emploi des codes E40 à E46 — exigence documentaire,condition_emploi,L'emploi des codes E40 à E46 doit se fonder sur les critères HAS et nécessite que le dossier comporte la mention de dénutrition. Cette mention peut être indiquée par un clinicien ou par un diététicien.,Mention de dénutrition présente au dossier
GM2026-V-DEN-05,2026-provisoire,"Guide MCO, chap. V, pp. 109-114, article MALNUTRITION, DÉNUTRITION","Emploi des codes E40, E41 et E42 en France",condition_emploi,"L'emploi des catégories E40 Kwashiorkor, E41 Marasme nutritionnel et E42 Kwashiorkor avec marasme ne peut être qu'exceptionnel en France.",
GM2026-V-DEN-06,2026-provisoire,"Guide MCO, chap. V, pp. 109-114, article MALNUTRITION, DÉNUTRITION",Détermination du niveau de sévérité,condition_emploi,"Le code est déterminé en fonction des critères correspondant aux définitions HAS retrouvés au dossier, sans que le niveau de sévérité doive nécessairement être mentionné dans le dossier — bien qu'il soit recommandé qu'il le soit.",
GM2026-V-DEN-07,2026-provisoire,"Guide MCO, chap. V, pp. 109-114, article MALNUTRITION, DÉNUTRITION",Coexistence de critères de sévérité différents (adulte 18-70 ans),regle_association,"Lors de l'observation simultanée d'un seul critère de dénutrition sévère et d'un ou plusieurs critères de dénutrition modérée, il est recommandé de poser un diagnostic de dénutrition sévère.","Coexistence d'un critère sévère et de critères modérés ; portée limitée à la section « adulte ≥ 18 et < 70 ans » du guide (non généralisée aux trois tranches d'âge, décision RF 2026-08-14)"
GM2026-V-DEN-08,2026-provisoire,"Guide MCO, chap. V, pp. 109-114, article MALNUTRITION, DÉNUTRITION",Périmètre du terme « malnutrition » dans la CIM-10,definition,"La CIM–10 range sous le terme générique de malnutrition un groupe d'affections résultant d'une carence d'apport ou d'une désassimilation protéinoénergétique : on doit donc l'entendre au sens restreint de dénutrition. Le groupe est E40–E46, auquel s'ajoute O25 Malnutrition au cours de la grossesse.",
GM2026-V-DEN-10,2026-provisoire,"Guide MCO, chap. V, pp. 109-114, article MALNUTRITION, DÉNUTRITION",Critères de dénutrition modérée chez l'enfant (< 18 ans),definition,"Dénutrition modérée avant 18 ans : courbe IOTF 17 < IMC < courbe IOTF 18,5 ; perte de poids ≥ 5 % et ≤ 10 % en 1 mois ou ≥ 10 % et ≤ 15 % en 6 mois par rapport au poids habituel avant le début de la maladie ; stagnation pondérale aboutissant à un poids situé entre 2 et 3 couloirs en dessous du couloir habituel. Un seul critère suffit dès lors que la dénutrition est présente.",Patient de moins de 18 ans ; dénutrition déjà établie
GM2026-V-DEN-11,2026-provisoire,"Guide MCO, chap. V, pp. 109-114, article MALNUTRITION, DÉNUTRITION",Critères de dénutrition sévère chez l'enfant (< 18 ans),definition,Dénutrition sévère avant 18 ans : IMC ≤ courbe IOTF 17 ; perte de poids > 10 % en 1 mois ou > 15 % en 6 mois ; stagnation pondérale aboutissant à un poids situé au moins 3 couloirs en dessous du couloir habituel ; infléchissement statural avec perte d'au moins un couloir. Un seul critère suffit dès lors que la dénutrition est présente.,Patient de moins de 18 ans ; dénutrition déjà établie
GM2026-V-DEN-12,2026-provisoire,"Guide MCO, chap. V, pp. 109-114, article MALNUTRITION, DÉNUTRITION",Critères de dénutrition modérée chez l'adulte (≥ 18 et < 70 ans),definition,"Dénutrition modérée de 18 à 70 ans : 17 < IMC < 18,5 kg/m² ; perte de poids ≥ 5 % en 1 mois ou ≥ 10 % en 6 mois ou ≥ 10 % par rapport au poids habituel ; albuminémie > 30 g/L et < 35 g/L, quel que soit l'état inflammatoire. Un seul critère suffit dès lors que la dénutrition est présente.",Patient de 18 à moins de 70 ans ; dénutrition déjà établie
GM2026-V-DEN-13,2026-provisoire,"Guide MCO, chap. V, pp. 109-114, article MALNUTRITION, DÉNUTRITION",Critères de dénutrition sévère chez l'adulte (≥ 18 et < 70 ans),definition,"Dénutrition sévère de 18 à 70 ans : IMC ≤ 17 kg/m² ; perte de poids ≥ 10 % en 1 mois ou ≥ 15 % en 6 mois ou ≥ 15 % par rapport au poids habituel ; albuminémie ≤ 30 g/L, quel que soit l'état inflammatoire. Un seul critère suffit dès lors que la dénutrition est présente.",Patient de 18 à moins de 70 ans ; dénutrition déjà établie
GM2026-V-DEN-14,2026-provisoire,"Guide MCO, chap. V, pp. 109-114, article MALNUTRITION, DÉNUTRITION",Critères de dénutrition modérée chez la personne âgée (≥ 70 ans),definition,Dénutrition modérée à partir de 70 ans : 20 ≤ IMC < 22 ; perte de poids ≥ 5 % et < 10 % en 1 mois ou ≥ 10 % et < 15 % en 6 mois ou ≥ 10 % et < 15 % par rapport au poids habituel ; albuminémie > 30 g/L. Un seul critère suffit dès lors que la dénutrition est présente.,Patient de 70 ans et plus ; dénutrition déjà établie
GM2026-V-DEN-15,2026-provisoire,"Guide MCO, chap. V, pp. 109-114, article MALNUTRITION, DÉNUTRITION",Critères de dénutrition sévère chez la personne âgée (≥ 70 ans),definition,Dénutrition sévère à partir de 70 ans : IMC < 20 kg/m² ; perte de poids ≥ 10 % en 1 mois ou ≥ 15 % en 6 mois ou ≥ 15 % par rapport au poids habituel ; albuminémie ≤ 30 g/L. Un seul critère suffit dès lors que la dénutrition est présente.,Patient de 70 ans et plus ; dénutrition déjà établie
GM2026-V-DEN-16,2026-provisoire,"Guide MCO, chap. V, pp. 109-114, article MALNUTRITION, DÉNUTRITION",Diagnostic de dénutrition — critères phénotypiques et étiologiques requis,definition,"Le diagnostic de dénutrition nécessite au moins 1 critère phénotypique ET 1 critère étiologique ; il est un préalable obligatoire avant de juger de la sévérité et repose exclusivement sur des critères non biologiques. Les critères étiologiques sont identiques aux trois âges : réduction de la prise alimentaire ≥ 50 % pendant plus d'1 semaine (ou toute réduction pendant plus de 2 semaines) ; absorption réduite (malabsorption, maldigestion) ; situation d'agression (pathologie aiguë, chronique évolutive ou maligne évolutive). Les critères phénotypiques varient avec l'âge — perte de poids, IMC (seuils IOTF avant 18 ans, 18,5 kg/m² de 18 à 70 ans, 22 kg/m² au-delà), réduction de la masse ou de la fonction musculaires, sarcopénie confirmée après 70 ans.",
GM2026-V-DEN-17,2026-provisoire,"Guide MCO, chap. V, pp. 109-114, article MALNUTRITION, DÉNUTRITION, §4.1",Dénutrition — seuils d'évaluation de la masse et de la fonction musculaires,definition,"Le critère phénotypique de réduction de la masse ou de la fonction musculaires s'apprécie par l'une des six méthodes suivantes, une seule suffisant : force de préhension au dynamomètre (< 26 kg chez l'homme, < 16 kg chez la femme) ; vitesse de marche (< 0,8 m/s dans les deux sexes) ; indice de surface musculaire en L3 au scanner ou en IRM (52,4 chez l'homme, 38,5 chez la femme, en cm²/m²) ; indice de masse musculaire par impédancemétrie (7,0 et 5,7 kg/m²) ; indice de masse non grasse par impédancemétrie (< 17 et < 15 kg/m²) ; masse musculaire appendiculaire au DEXA (7,23 et 5,67 kg/m²).",
GM2026-V-XXI-01,2026-provisoire,"Guide MCO, chap. V, pp. 93-103, article EMPLOI DES CODES DU CHAPITRE XXI DE LA CIM-10",Emploi général des codes du chapitre XXI,definition,"Les codes du chapitre XXI (« codes Z ») peuvent, et souvent doivent, être utilisés dans le RUM comme diagnostic principal, relié ou associé.",
GM2026-V-XXI-02,2026-provisoire,"Guide MCO, chap. V, pp. 93-103, article EMPLOI DES CODES DU CHAPITRE XXI DE LA CIM-10",Z00–Z02 — motifs relevant de l'activité externe,condition_emploi,"Les catégories Z00 à Z02 répertorient des motifs de recours qui relèvent, sauf exception, de l'activité externe ; les patients concernés ne se plaignent de rien et aucun diagnostic n'est rapporté.",
GM2026-V-XXI-03,2026-provisoire,"Guide MCO, chap. V, pp. 93-103, article EMPLOI DES CODES DU CHAPITRE XXI DE LA CIM-10",Z03 — suspicions non confirmées,condition_emploi,"Les cas où l'emploi de Z03 s'impose sont rares : lorsqu'une symptomatologie est présente, on préfère son code (le plus souvent du chapitre XVIII) toutes les fois qu'il est plus précis. Z03.6 reste adapté à une suspicion d'absorption de produit toxique reposant sur une crainte de l'entourage, finalement infirmée.",Absence de symptomatologie codable plus précise
GM2026-V-XXI-04,2026-provisoire,"Guide MCO, chap. V, pp. 93-103, article EMPLOI DES CODES DU CHAPITRE XXI DE LA CIM-10",Z04.0 — alcool et substances pharmacologiques,condition_emploi,"Z04.0 est employé lorsque la présence dans le sang d'alcool ou de substances pharmacologiques n'est pas confirmée ; si elle l'est, on fait appel à la catégorie R78.",Présence non confirmée
GM2026-V-XXI-05,2026-provisoire,"Guide MCO, chap. V, pp. 93-103, article EMPLOI DES CODES DU CHAPITRE XXI DE LA CIM-10",Z04.1 à Z04.3 — suspicion de lésion secondaire,condition_emploi,L'emploi de Z04.1 à Z04.3 est réservé aux situations dans lesquelles aucune lésion n'est finalement diagnostiquée.,Aucune lésion finalement diagnostiquée
GM2026-V-XXI-06,2026-provisoire,"Guide MCO, chap. V, pp. 93-103, article EMPLOI DES CODES DU CHAPITRE XXI DE LA CIM-10",Z04.4 à Z04.6 — problèmes médicolégaux,condition_emploi,Z04.4 et Z04.5 peuvent être utilisés autant pour les coupables que pour les victimes ; on les emploie lorsqu'aucun état morbide n'est mis en évidence.,Aucun état morbide mis en évidence
GM2026-V-XXI-07,2026-provisoire,"Guide MCO, chap. V, pp. 93-103, article EMPLOI DES CODES DU CHAPITRE XXI DE LA CIM-10","Z04.800, Z04.801, Z04.802 — codes imposés en DP",regle_position,Z04.800 (électroencéphalogramme de longue durée) et Z04.801 (enregistrement polygraphique) sont les codes imposés pour le DP de ces séjours ; Z04.802 code les bilans préopératoires ou préinterventionnels. Leur emploi s'impose comme DP qu'une affection ait été diagnostiquée ou non au terme du séjour.,
GM2026-V-XXI-08,2026-provisoire,"Guide MCO, chap. V, pp. 93-103, article EMPLOI DES CODES DU CHAPITRE XXI DE LA CIM-10",Z04.8 — devenu inutilisable depuis ses extensions,interdiction,"Depuis la création de ses extensions (version 11 des GHM), Z04.8 est devenu imprécis et n'est plus utilisable comme DP, DR ni DA ; l'emploi des extensions est obligatoire.",
GM2026-V-XXI-09,2026-provisoire,"Guide MCO, chap. V, pp. 93-103, article EMPLOI DES CODES DU CHAPITRE XXI DE LA CIM-10",Z04.9 — information trop imprécise,interdiction,Z04.9 correspond à une information trop imprécise pour être acceptable.,
GM2026-V-XXI-10,2026-provisoire,"Guide MCO, chap. V, pp. 93-103, article EMPLOI DES CODES DU CHAPITRE XXI DE LA CIM-10",Z03 ou Z04 en DP — pas de diagnostic relié,interdiction,"Lorsqu'un code des catégories Z03 ou Z04 est en position de DP, sauf cas particulier, il ne justifie pas de diagnostic relié.",Sauf cas particulier
GM2026-V-XXI-11,2026-provisoire,"Guide MCO, chap. V, pp. 93-103, article EMPLOI DES CODES DU CHAPITRE XXI DE LA CIM-10",Z08 ou Z09 en DP — maladie surveillée en DR,regle_position,"Lorsqu'un code des catégories Z08 ou Z09 est en position de DP, le code de la maladie surveillée doit figurer en position de DR chaque fois qu'elle respecte sa définition. Ces codes sont typiquement des codes de surveillance négative.",La maladie surveillée respecte la définition du DR
GM2026-V-XXI-12,2026-provisoire,"Guide MCO, chap. V, pp. 93-103, article EMPLOI DES CODES DU CHAPITRE XXI DE LA CIM-10",Z08.2 et Z09.2 — sens du mot « chimiothérapie »,definition,Le mot « chimiothérapie » n'a pas dans la CIM–10 le sens implicite de « chimiothérapie antitumorale » qu'il a dans le langage courant : il a son sens premier de « traitement par des moyens chimiques ». Seule Z08 concerne les tumeurs malignes.,
GM2026-V-XXI-13,2026-provisoire,"Guide MCO, chap. V, pp. 93-103, article EMPLOI DES CODES DU CHAPITRE XXI DE LA CIM-10",Z10 — sans emploi en MCO,interdiction,La catégorie Z10 n'a pas d'emploi dans le champ d'activité couvert par le PMSI en MCO : elle ne comprend que des motifs de consultation externe.,
GM2026-V-XXI-14,2026-provisoire,"Guide MCO, chap. V, pp. 93-103, article EMPLOI DES CODES DU CHAPITRE XXI DE LA CIM-10",Z11 à Z13 — le dépistage n'est pas l'exploration d'un problème personnel,interdiction,"Les codes Z11 à Z13 ne doivent pas être employés pour des patients présentant un problème de santé personnel. Il est erroné de coder comme un dépistage une situation d'examens motivés par un antécédent personnel ou familial, ou par une symptomatologie quelconque : c'est le motif des explorations qui doit être codé.",Patient présentant un problème de santé personnel
GM2026-V-XXI-15,2026-provisoire,"Guide MCO, chap. V, pp. 93-103, article EMPLOI DES CODES DU CHAPITRE XXI DE LA CIM-10",Z13.51 — dépistage de la surdité néonatale permanente,regle_position,Z13.51 doit être systématiquement codé en DAS lorsqu'un dépistage de la surdité néonatale permanente (test et éventuel retest) est réalisé par OEAA ou PEAA lors d'un séjour de nouveau-né.,Dépistage réalisé par OEAA ou PEAA lors d'un séjour de nouveau-né
GM2026-V-XXI-16,2026-provisoire,"Guide MCO, chap. V, pp. 93-103, article EMPLOI DES CODES DU CHAPITRE XXI DE LA CIM-10",Z20 — contact avec une maladie transmissible non confirmée,condition_emploi,"Z20 permet de coder l'absence d'une maladie infectieuse initialement crainte du fait d'un contact ou de toute autre exposition ; si la maladie était confirmée, c'est elle qu'on coderait. L'exemple du guide précise qu'en l'absence de symptôme il n'y a pas lieu d'employer un code du chapitre XVIII, ni de coder la maladie crainte avec le chapitre I.",Maladie infectieuse non confirmée
GM2026-V-XXI-17,2026-provisoire,"Guide MCO, chap. V, pp. 93-103, article EMPLOI DES CODES DU CHAPITRE XXI DE LA CIM-10",Z21 — séropositivité VIH isolée,condition_emploi,"Z21 code la séropositivité isolée au VIH. Si la séropositivité s'associe à l'un des états classés dans les catégories B20 à B24, c'est un code de celles-ci qu'on emploie, non Z21.",Séropositivité isolée
GM2026-V-XXI-18,2026-provisoire,"Guide MCO, chap. V, pp. 93-103, article EMPLOI DES CODES DU CHAPITRE XXI DE LA CIM-10",Z22 — colonisations et portages sains,definition,"La catégorie Z22, dans la suite logique de Z21, est la catégorie des colonisations (« portages sains »).",
GM2026-V-XXI-19,2026-provisoire,"Guide MCO, chap. V, pp. 93-103, article EMPLOI DES CODES DU CHAPITRE XXI DE LA CIM-10","Z29.0 — isolement thérapeutique, non social",condition_emploi,"Z29.0 n'est pas destiné au classement des situations d'isolement social, qui se codent avec Z60 ; il code l'isolement dans un but thérapeutique. Son emploi est autorisé dans toutes les situations où un patient est isolé pour être mis à l'abri de l'entourage ou pour l'en protéger.",
GM2026-V-XXI-20,2026-provisoire,"Guide MCO, chap. V, pp. 93-103, article EMPLOI DES CODES DU CHAPITRE XXI DE LA CIM-10",Z29.1 et Z29.2 — immunothérapie et chimiothérapie prophylactiques,condition_emploi,"Z29.1 ou Z29.2 peuvent être utilisés lors des séjours motivés par l'administration d'une immunothérapie ou d'une chimiothérapie prophylactique, quel qu'en soit le motif, à condition que le caractère prophylactique soit établi.",Caractère prophylactique établi
GM2026-V-XXI-21,2026-provisoire,"Guide MCO, chap. V, pp. 93-103, article EMPLOI DES CODES DU CHAPITRE XXI DE LA CIM-10",Z20 à Z29 — catégories utilisables en MCO et droit au DR,condition_emploi,"Parmi les catégories Z20 à Z29, seules Z20, Z21, Z22 et Z29 sont en pratique susceptibles d'être utilisées pour le codage des RUM. Si un code de ces rubriques est en DP, seuls ceux de la catégorie Z29 sont susceptibles de justifier un DR.",
GM2026-V-XXI-22,2026-provisoire,"Guide MCO, chap. V, pp. 93-103, article EMPLOI DES CODES DU CHAPITRE XXI DE LA CIM-10",Z33 — grossesse normale chez une femme hospitalisée pour un autre motif,regle_position,Z33 permet d'enregistrer la grossesse comme diagnostic associé lorsqu'une femme enceinte est hospitalisée pour un motif sans rapport avec elle et qu'elle se déroule normalement.,Motif d'hospitalisation sans rapport avec la grossesse ; grossesse normale
GM2026-V-XXI-23,2026-provisoire,"Guide MCO, chap. V, pp. 93-103, article EMPLOI DES CODES DU CHAPITRE XXI DE LA CIM-10",Z34 et Z35 — surveillance de grossesse,condition_emploi,"Z34 comprend la surveillance des grossesses normales, Z35 celle de toutes les autres — l'intitulé « à haut risque » ne doit pas être lu de manière rigide. Dans les hospitalisations de l'antepartum, la mention d'un code Z35.– est indispensable à l'orientation correcte du RSS dans les GHM de l'antepartum.",
GM2026-V-XXI-24,2026-provisoire,"Guide MCO, chap. V, pp. 93-103, article EMPLOI DES CODES DU CHAPITRE XXI DE LA CIM-10",Z37 — résultat de l'accouchement,regle_position,La mention d'un code de la catégorie Z37 comme diagnostic associé est indispensable au classement du RSS dans un GHM d'accouchement ; un code de cette catégorie doit être enregistré dans les RSS de tous les séjours comportant un accouchement.,
GM2026-V-XXI-25,2026-provisoire,"Guide MCO, chap. V, pp. 93-103, article EMPLOI DES CODES DU CHAPITRE XXI DE LA CIM-10",Z38.0 — nouveau-né en bonne santé en maternité,regle_position,"Z38.0 est le code du DP du RUM du nouveau-né dont le séjour se déroule en maternité auprès de sa mère ; dans cette situation il ne justifie aucun diagnostic relié. Lorsque le DP du séjour d'un nouveau-né est un problème de santé, son code doit être d'abord cherché dans le chapitre XVI.",
GM2026-V-XXI-26,2026-provisoire,"Guide MCO, chap. V, pp. 93-103, article EMPLOI DES CODES DU CHAPITRE XXI DE LA CIM-10",Z39 — soins et examens du postpartum,regle_position,"Un code Z39 est toujours requis pour les séjours du postpartum ; il ne doit pas être enregistré d'acte d'accouchement dans le RUM, et un code de la catégorie Z37 doit être saisi en diagnostic associé.",
GM2026-V-XXI-27,2026-provisoire,"Guide MCO, chap. V, pp. 93-103, article EMPLOI DES CODES DU CHAPITRE XXI DE LA CIM-10",Transfert pour soins du postpartum (E1 vers E2),regle_position,"Lorsqu'après un accouchement dans un établissement E1 une mère est transférée avec son enfant dans un établissement E2 pour les soins du postpartum, le DP du RUM de la mère est codé Z39.08 et celui du nouveau-né Z76.2.","Soins standard, pas de complication, nouveau-né normal"
