dagger_code,dagger_label,asterisk_code,asterisk_label,combination_labels,levels_present,redundancy_level,rationale,curated_by,curated_date,_orphan
(E00-E07),affections de la glande thyroïde,M82.1,ostéoporose au cours de maladies endocriniennes,ostéoporose au cours de maladies endocriniennes,G,independent,,RF,21/05/2026,false
(E10-E14),diabète sucré,M82.1,ostéoporose au cours de maladies endocriniennes,ostéoporose au cours de maladies endocriniennes,G,independent,,RF,21/05/2026,false
(E15-E16),autres anomalies de la régulation du glucose et de la sécrétion pancréatique interne,G63.3,polynévrite au cours d'autres maladies endocriniennes et métaboliques,polynévrite au cours d'autres maladies endocriniennes et métaboliques,G,independent,,RF,21/05/2026,false
(E15-E16),autres anomalies de la régulation du glucose et de la sécrétion pancréatique interne,M82.1,ostéoporose au cours de maladies endocriniennes,ostéoporose au cours de maladies endocriniennes,G,independent,,RF,21/05/2026,false
(E40-E46),malnutrition,G63.4,polynévrite par carence nutritionnelle,polynévrite par carence nutritionnelle,G,independent,,RF,21/05/2026,false
(E40-E46),malnutrition,H28.1,"cataracte au cours d'autres maladies endocriniennes, nutritionnelles et métaboliques",cataracte au cours de malnutrition-déshydratation,H,independent,,RF,21/05/2026,false
(E50-E64),autres carences nutritionnelles,G63.4,polynévrite par carence nutritionnelle,polynévrite par carence nutritionnelle,G,independent,,RF,21/05/2026,false
(M00-M25),arthropathies,G63.6,polynévrite au cours d'autres affections ostéo-articulaires et des muscles,polynévrite au cours d'autres affections ostéo-articulaires et des muscles,G,independent,,RF,21/05/2026,false
(M40-M54),dorsopathies,G63.6,polynévrite au cours d'autres affections ostéo-articulaires et des muscles,polynévrite au cours d'autres affections ostéo-articulaires et des muscles,G,independent,,RF,21/05/2026,false
(M60-M79),affections des tissus mous,G63.6,polynévrite au cours d'autres affections ostéo-articulaires et des muscles,polynévrite au cours d'autres affections ostéo-articulaires et des muscles,G,independent,,RF,21/05/2026,false
(M80-M94),ostéopathies et chondropathies,G63.6,polynévrite au cours d'autres affections ostéo-articulaires et des muscles,polynévrite au cours d'autres affections ostéo-articulaires et des muscles,G,independent,,RF,21/05/2026,false
(T36-T50),intoxications par des médicaments et des substances biologiques,F02.8,démence au cours d'autres maladies classées ailleurs,démence au cours de intoxications,H,independent,,RF,21/05/2026,false
(T51-T65),effets toxiques de substances d'origine essentiellement non médicinale,F02.8,démence au cours d'autres maladies classées ailleurs,démence au cours de intoxications,H,independent,,RF,21/05/2026,false
A01,fièvres typhoïde et paratyphoïde,M01.3,arthrite au cours d'autres maladies bactériennes classées ailleurs,arthrite (au cours de) fièvre typhoïde ou paratyphoïde,H,independent,,RF,21/05/2026,false
A01,fièvres typhoïde et paratyphoïde,M49.2,spondylite entérobactérienne,spondylite entérobactérienne,G,independent,,RF,21/05/2026,false
A01.0,fièvre typhoïde,G01,méningite au cours d'affections bactériennes classées ailleurs,méningite (au cours de) fièvre typhoïde,H,independent,,RF,21/05/2026,false
A01.0,fièvre typhoïde,I39,endocardite et atteintes valvulaires cardiaques au cours de maladies classées ailleurs,atteinte de l'endocarde (à) (au cours de) typhoïdique,H,independent,,RF,21/05/2026,false
A01.0,fièvre typhoïde,J17.0,pneumopathie au cours de maladies bactériennes classées ailleurs,pneumopathie (au cours de) (due à) fièvre typhoïde,H,independent,,RF,21/05/2026,false
A02,autres salmonelloses,M49.2,spondylite entérobactérienne,spondylite entérobactérienne,G,independent,,RF,21/05/2026,false
A02.2,infection localisée à Salmonella,G01,méningite au cours d'affections bactériennes classées ailleurs,méningite à Salmonella | méningite (au cours de) infection à Salmonella,"H, U",independent,,RF,21/05/2026,false
A02.2,infection localisée à Salmonella,J17.0,pneumopathie au cours de maladies bactériennes classées ailleurs,pneumopathie à Salmonella | pneumopathie (au cours de) (due à) salmonellose,"H, U",independent,,RF,21/05/2026,false
A02.2,infection localisée à Salmonella,M01.3,arthrite au cours d'autres maladies bactériennes classées ailleurs,arthrite à Salmonella | arthrite (au cours de) infection localisée à Salmonella,"H, U",independent,,RF,21/05/2026,false
A02.2,infection localisée à Salmonella,M90.2,ostéopathie au cours d'autres maladies infectieuses classées ailleurs,ostéomyélite à Salmonella | ostéomyélite due à Salmonella,"H, U",independent,,RF,21/05/2026,false
A02.2,infection localisée à Salmonella,N16.0,maladie rénale tubulo-interstitielle au cours de maladies infectieuses et parasitaires classées ailleurs,maladie rénale tubulo-interstitielle à Salmonella | maladie rénale tubulo-interstitielle au cours de salmonellose,"H, U",independent,,RF,21/05/2026,false
A03,shigellose,M49.2,spondylite entérobactérienne,spondylite entérobactérienne,G,independent,,RF,21/05/2026,false
A04,autres infections intestinales bactériennes,M49.2,spondylite entérobactérienne,spondylite entérobactérienne,G,independent,,RF,21/05/2026,false
A04.6,entérite à Yersinia enterocolitica,M03.2,autres arthropathies post-infectieuses au cours de maladies classées ailleurs,arthropathie post-infectieuse au cours de entérite due à Yersinia enterocolitica,H,independent,,RF,21/05/2026,false
A06.5,abcès amibien du poumon,J99.8,troubles respiratoires au cours d'autres maladies classées ailleurs,abcès amibien du poumon | troubles respiratoires au cours de abcès amibien du poumon,"H, T",independent,,RF,21/05/2026,false
A06.6,abcès amibien du cerveau,G07,abcès et granulome intracrâniens et intrarachidiens au cours d'affections classées ailleurs,abcès amibien du cerveau | abcès du cerveau amibien,"H, T",independent,,RF,21/05/2026,false
A06.8,autres localisations d'une infection amibienne,N51.2,balanite au cours de maladies classées ailleurs,balanite amibienne | balanite (à) amibienne,"H, U",independent,,RF,21/05/2026,false
A17.0,méningite tuberculeuse,G01,méningite au cours d'affections bactériennes classées ailleurs,méningite tuberculeuse | méningite (au cours de) tuberculeuse,"H, T",subordinate,,RF,21/05/2026,false
A17.1,tuberculome méningé,G07,abcès et granulome intracrâniens et intrarachidiens au cours d'affections classées ailleurs,tuberculome méningé,"H, T",subordinate,,RF,21/05/2026,false
A17.8,autres formes de tuberculose du système nerveux,G05.0,"encéphalite, myélite et encéphalomyélite au cours d'infections bactériennes classées ailleurs","méningo-encéphalite tuberculeuse | myélite tuberculeuse | encéphalite, myélite ou encéphalomyélite tuberculeuse","H, U",subordinate,,RF,21/05/2026,false
A17.8,autres formes de tuberculose du système nerveux,G07,abcès et granulome intracrâniens et intrarachidiens au cours d'affections classées ailleurs,abcès tuberculeux du cerveau | tuberculome de moelle épinière | tuberculome de cerveau | tuberculose de moelle épinière | tuberculose de cerveau | abcès du cerveau tuberculeux | tuberculome cérébral,"H, U",subordinate,,RF,21/05/2026,false
A17.8,autres formes de tuberculose du système nerveux,G63.0,polynévrite au cours de maladies infectieuses et parasitaires classées ailleurs,polynévrite tuberculeuse | polynévrite (au cours de) tuberculeuse,"H, U",subordinate,,RF,21/05/2026,false
A17.9,"tuberculose du système nerveux, sans précision",G99.8,autres affections précisées du système nerveux au cours de maladies classées ailleurs,"tuberculose du système nerveux, sans précision",T,independent,,RF,21/05/2026,false
A18.0,tuberculose des os et des articulations,H75.0,mastoïdite au cours de maladies infectieuses et parasitaires classées ailleurs,mastoïdite tuberculeuse | tuberculose mastoïdienne,"H, U",subordinate,,RF,21/05/2026,false
A18.0,tuberculose des os et des articulations,M01.1,arthrite tuberculeuse,arthrite tuberculeuse | tuberculose de genou [tumeur blanche du genou] | tuberculose de hanche,"G, U",subordinate,,RF,21/05/2026,false
A18.0,tuberculose des os et des articulations,M49.0,tuberculose vertébrale,tuberculose vertébrale | tuberculose de colonne vertébrale [mal de Pott],"G, U",subordinate,,RF,21/05/2026,false
A18.0,tuberculose des os et des articulations,M68.0,synovite et ténosynovite au cours de maladies bactériennes classées ailleurs,synovite tuberculeuse | ténosynovite tuberculeuse | synovite ou ténosynovite tuberculeuse,"H, U",subordinate,,RF,21/05/2026,false
A18.0,tuberculose des os et des articulations,M90.0,tuberculose osseuse,tuberculose osseuse | ostéite tuberculeuse | ostéomyélite tuberculeuse | ostéonécrose tuberculeuse,"G, U",subordinate,,RF,21/05/2026,false
A18.1,tuberculose de l'appareil génito-urinaire,N29.1,autres affections du rein et de l'uretère au cours de maladies infectieuses et parasitaires classées ailleurs,tuberculose (de) uretère | tuberculose (de) rénale | affections du rein et de l'uretère au cours de tuberculose,"H, U",subordinate,,RF,21/05/2026,false
A18.1,tuberculose de l'appareil génito-urinaire,N33.0,cystite tuberculeuse,cystite tuberculeuse | tuberculose (de) vessie,"G, U",subordinate,,RF,21/05/2026,false
A18.1,tuberculose de l'appareil génito-urinaire,N51,affections des organes génitaux de l'homme au cours de maladies classées ailleurs,tuberculose (de) organes génitaux de l'homme,U,subordinate,,RF,21/05/2026,false
A18.1,tuberculose de l'appareil génito-urinaire,N51.0,affections de la prostate au cours de maladies classées ailleurs,prostatite (à) tuberculeuse,H,subordinate,,RF,21/05/2026,false
A18.1,tuberculose de l'appareil génito-urinaire,N51.1,affections du testicule et de l'épididyme au cours de maladies classées ailleurs,tuberculose de épididyme | tuberculose de testicule,H,subordinate,,RF,21/05/2026,false
A18.1,tuberculose de l'appareil génito-urinaire,N51.8,autres affections des organes génitaux de l'homme au cours de maladies classées ailleurs,tuberculose des vésicules séminales,H,subordinate,,RF,21/05/2026,false
A18.1,tuberculose de l'appareil génito-urinaire,N74.0,tuberculose du col de l'utérus,tuberculose du col de l'utérus | tuberculose (de) col de l'utérus,"G, U",subordinate,,RF,21/05/2026,false
A18.1,tuberculose de l'appareil génito-urinaire,N74.1,affection inflammatoire pelvienne tuberculeuse de la femme,affection inflammatoire pelvienne tuberculeuse de la femme | affection inflammatoire tuberculeuse des organes pelviens de la femme,"G, U",independent,,RF,21/05/2026,false
A18.1,tuberculose de l'appareil génito-urinaire,N77.0,ulcération de la vulve au cours de maladies infectieuses et parasitaires classées ailleurs,ulcération de la vulve au cours de tuberculose,H,subordinate,,RF,21/05/2026,false
A18.3,"tuberculose de l'intestin, du péritoine et des ganglions mésentériques",K67.3,péritonite tuberculeuse,péritonite tuberculeuse,"G, U",subordinate,,RF,21/05/2026,false
A18.3,"tuberculose de l'intestin, du péritoine et des ganglions mésentériques",K93.0,"atteintes tuberculeuses de l'intestin, du péritoine et des ganglions mésentériques","atteintes tuberculeuses de l'intestin, du péritoine et des ganglions mésentériques | tuberculose (de) anus et rectum | entérite tuberculeuse | tuberculose (de) intestin (côlon) (grêle)","G, U",subordinate,,RF,21/05/2026,false
A18.4,tuberculose de la peau et du tissu cellulaire sous-cutané,H03.1,atteinte de la paupière au cours d'autres maladies infectieuses classées ailleurs,lupus vulgaire (de) paupière | atteinte de la paupière au cours de tuberculose,"H, U",subordinate,,RF,21/05/2026,false
A18.5,tuberculose de l'oeil,H19.0,sclérite et épisclérite au cours de maladies classées ailleurs,épisclérite tuberculeuse,"H, U",subordinate,,RF,21/05/2026,false
A18.5,tuberculose de l'oeil,H19.2,kératite et kératoconjonctivite au cours d'autres maladies infectieuses et parasitaires classées ailleurs,kératoconjonctivite (interstitielle) (phlycténulaire) tuberculeuse | kératite interstitielle tuberculeuse | kératite et kératoconjonctivite (insterstitielles) au cours de (dues à) tuberculose,"H, U",subordinate,,RF,21/05/2026,false
A18.5,tuberculose de l'oeil,H22.0,iridocyclite au cours de maladies infectieuses et parasitaires classées ailleurs,iridocyclite tuberculeuse | iridocyclite au cours de tuberculose,"H, U",subordinate,,RF,21/05/2026,false
A18.5,tuberculose de l'oeil,H32.0,affections choriorétiniennes au cours de maladies infectieuses et parasitaires classées ailleurs,choriorétinite tuberculeuse | choriorétinite (à) tuberculeuse,"H, U",subordinate,,RF,21/05/2026,false
A18.6,tuberculose de l'oreille,H67.0,otite moyenne au cours de maladies bactériennes classées ailleurs,otite moyenne tuberculeuse | otite moyenne au cours de tuberculose,"H, U",subordinate,,RF,21/05/2026,false
A18.7,tuberculose des surrénales,E35.1,anomalies de la glande surrénale au cours de maladies classées ailleurs,tuberculose des surrénales | maladie d'Addison tuberculeuse,"H, T",subordinate,,RF,21/05/2026,false
A18.8,tuberculose d'autres organes précisés,E35.0,anomalies de la glande thyroïde au cours de maladies classées ailleurs,tuberculose de thyroïde | tuberculose de la thyroïde,"H, U",subordinate,,RF,21/05/2026,false
A18.8,tuberculose d'autres organes précisés,I32.0,péricardite au cours de maladies bactériennes classées ailleurs,tuberculose de péricarde | péricardite tuberculeuse,"H, U",subordinate,,RF,21/05/2026,false
A18.8,tuberculose d'autres organes précisés,I39,endocardite et atteintes valvulaires cardiaques au cours de maladies classées ailleurs,atteinte de l'endocarde (à) (au cours de) tuberculeuse,H,subordinate,,RF,21/05/2026,false
A18.8,tuberculose d'autres organes précisés,I39.8,"endocardite, valvule non précisée, au cours de maladies classées ailleurs",tuberculose de endocarde,U,subordinate,,RF,21/05/2026,false
A18.8,tuberculose d'autres organes précisés,I41.0,myocardite au cours de maladies bactériennes classées ailleurs,tuberculose de myocarde | myocardite tuberculeuse,"H, U",subordinate,,RF,21/05/2026,false
A18.8,tuberculose d'autres organes précisés,I68.1,artérite cérébrale au cours de maladies infectieuses et parasitaires,artérite cérébrale tuberculeuse | artérite cérébrale au cours de tuberculose,"H, U",subordinate,,RF,21/05/2026,false
A18.8,tuberculose d'autres organes précisés,K23.0,oesophagite tuberculeuse,oesophagite tuberculeuse | tuberculose de oesophage,"G, U",subordinate,,RF,21/05/2026,false
A21.2,tularémie pulmonaire,J17.0,pneumopathie au cours de maladies bactériennes classées ailleurs,pneumopathie (au cours de) (due à) tularémie,H,subordinate,,RF,21/05/2026,false
A22.1,charbon pulmonaire,J17.0,pneumopathie au cours de maladies bactériennes classées ailleurs,pneumopathie (au cours de) (due à) charbon,H,subordinate,,RF,21/05/2026,false
A22.8,autres formes de charbon,G01,méningite au cours d'affections bactériennes classées ailleurs,méningite charbonneuse | méningite (au cours de) charbonneuse,"H, U",subordinate,,RF,21/05/2026,false
A23,brucellose,M49.1,spondylite au cours de brucellose,spondylite au cours de brucellose,G,subordinate,,RF,21/05/2026,false
A23,brucellose,N16.0,maladie rénale tubulo-interstitielle au cours de maladies infectieuses et parasitaires classées ailleurs,maladie rénale tubulo-interstitielle au cours de brucellose,H,subordinate,,RF,21/05/2026,false
A27,leptospirose,G01,méningite au cours d'affections bactériennes classées ailleurs,méningite (au cours de) leptospirose,H,subordinate,,RF,21/05/2026,false
A30,lèpre [maladie de Hansen],G63.0,polynévrite au cours de maladies infectieuses et parasitaires classées ailleurs,polynévrite (au cours de) lèpre,H,subordinate,,RF,21/05/2026,false
A30,lèpre [maladie de Hansen],H03.1,atteinte de la paupière au cours d'autres maladies infectieuses classées ailleurs,atteinte de la paupière au cours de lèpre,H,subordinate,,RF,21/05/2026,false
A30,lèpre [maladie de Hansen],M01.3,arthrite au cours d'autres maladies bactériennes classées ailleurs,arthrite (au cours de) lèpre [maladie de Hansen],H,subordinate,,RF,21/05/2026,false
A30,lèpre [maladie de Hansen],M63.0,myosite au cours de maladies bactériennes classées ailleurs,myosite au cours de lèpre [maladie de Hansen],H,subordinate,,RF,21/05/2026,false
A32.1,méningite et méningo-encéphalite listériennes,G01,méningite au cours d'affections bactériennes classées ailleurs,méningite listérienne | méningite (au cours de) listérienne,"H, U",subordinate,,RF,21/05/2026,false
A32.1,méningite et méningo-encéphalite listériennes,G05.0,"encéphalite, myélite et encéphalomyélite au cours d'infections bactériennes classées ailleurs","méningo-encéphalite listérienne | encéphalite, myélite ou encéphalomyélite listérienne","H, U",subordinate,,RF,21/05/2026,false
A32.8,autres formes de listériose,I39.8,"endocardite, valvule non précisée, au cours de maladies classées ailleurs",endocardite listérienne,U,subordinate,,RF,21/05/2026,false
A32.8,autres formes de listériose,I68.1,artérite cérébrale au cours de maladies infectieuses et parasitaires,artérite cérébrale listérienne | artérite cérébrale au cours de listériose,"H, U",subordinate,,RF,21/05/2026,false
A36.8,autres formes de diphtérie,G63.0,polynévrite au cours de maladies infectieuses et parasitaires classées ailleurs,polynévrite diphtérique | polynévrite (au cours de) diphtérie,"H, U",subordinate,,RF,21/05/2026,false
A36.8,autres formes de diphtérie,H13.1,conjonctivite au cours de maladies infectieuses et parasitaires classées ailleurs,conjonctivite diphtérique | conjonctivite (à) (de) diphtérique,"H, U",subordinate,,RF,21/05/2026,false
A36.8,autres formes de diphtérie,I41.0,myocardite au cours de maladies bactériennes classées ailleurs,myocardite diphtérique,"H, U",subordinate,,RF,21/05/2026,false
A36.8,autres formes de diphtérie,I43.0,myocardiopathie au cours de maladies infectieuses et parasitaires classées ailleurs,myocardiopathie diphtérique,H,subordinate,,RF,21/05/2026,false
A36.8,autres formes de diphtérie,N16.0,maladie rénale tubulo-interstitielle au cours de maladies infectieuses et parasitaires classées ailleurs,maladie rénale tubulo-interstitielle au cours de diphtérie,H,subordinate,,RF,21/05/2026,false
A37,coqueluche,J17.0,pneumopathie au cours de maladies bactériennes classées ailleurs,pneumopathie (au cours de) (due à) coqueluche,H,subordinate,,RF,21/05/2026,false
A38,scarlatine,H67.0,otite moyenne au cours de maladies bactériennes classées ailleurs,otite moyenne au cours de scarlatine,H,subordinate,,RF,21/05/2026,false
A39.0,méningite à méningocoques,G01,méningite au cours d'affections bactériennes classées ailleurs,méningite à méningocoques | méningite (au cours de) méningococcique,"H, T",subordinate,,RF,21/05/2026,false
A39.1,syndrome de Waterhouse-Friderichsen,E35.1,anomalies de la glande surrénale au cours de maladies classées ailleurs,syndrome de Waterhouse-Friderichsen | syndrome de Waterhouse-Friderichsen (méningococcique),"H, T",subordinate,,RF,21/05/2026,false
A39.5,cardite à méningocoques,I32.0,péricardite au cours de maladies bactériennes classées ailleurs,péricardite méningococcique,"H, U",subordinate,,RF,21/05/2026,false
A39.5,cardite à méningocoques,I39,endocardite et atteintes valvulaires cardiaques au cours de maladies classées ailleurs,atteinte de l'endocarde (à) (au cours de) méningococcique,H,subordinate,,RF,21/05/2026,false
A39.5,cardite à méningocoques,I39.8,"endocardite, valvule non précisée, au cours de maladies classées ailleurs",endocardite méningococcique,U,subordinate,,RF,21/05/2026,false
A39.5,cardite à méningocoques,I41.0,myocardite au cours de maladies bactériennes classées ailleurs,myocardite méningococcique,"H, U",subordinate,,RF,21/05/2026,false
A39.5,cardite à méningocoques,I52.0,autres cardiopathies au cours de maladies bactériennes classées ailleurs,cardite méningococcique SAI | cardite à méningocoques NCA,"H, U",subordinate,,RF,21/05/2026,false
A39.8,autres infections à méningocoques,G05.0,"encéphalite, myélite et encéphalomyélite au cours d'infections bactériennes classées ailleurs","encéphalite méningococcique | encéphalite, myélite ou encéphalomyélite méningococcique","H, U",subordinate,,RF,21/05/2026,false
A39.8,autres infections à méningocoques,H13.1,conjonctivite au cours de maladies infectieuses et parasitaires classées ailleurs,conjonctivite méningococcique | conjonctivite (à) (de) méningococcique,"H, U",subordinate,,RF,21/05/2026,false
A39.8,autres infections à méningocoques,H48.1,névrite rétrobulbaire au cours de maladies classées ailleurs,névrite rétrobulbaire méningococcique | névrite rétrobulbaire au cours de infection à méningocoques,"H, U",subordinate,,RF,21/05/2026,false
A39.8,autres infections à méningocoques,M01.0,arthrite méningococcique,arthrite méningococcique,"G, U",subordinate,,RF,21/05/2026,false
A39.8,autres infections à méningocoques,M03.0,arthrite post-méningococcique,arthrite post-méningococcique,"G, U",subordinate,,RF,21/05/2026,false
A40,septicémie à streptocoques,N08.0,glomérulopathie au cours de maladies infectieuses et parasitaires classées ailleurs,glomérulopathie au cours de septicémie,H,independent,,RF,21/05/2026,false
A40,septicémie à streptocoques,N16.0,maladie rénale tubulo-interstitielle au cours de maladies infectieuses et parasitaires classées ailleurs,maladie rénale tubulo-interstitielle au cours de septicémie,H,independent,,RF,21/05/2026,false
A41,autres septicémies,N08.0,glomérulopathie au cours de maladies infectieuses et parasitaires classées ailleurs,glomérulopathie au cours de septicémie,H,independent,,RF,21/05/2026,false
A41,autres septicémies,N16.0,maladie rénale tubulo-interstitielle au cours de maladies infectieuses et parasitaires classées ailleurs,maladie rénale tubulo-interstitielle au cours de septicémie,H,independent,,RF,21/05/2026,false
A42.0,actinomycose pulmonaire,J17.0,pneumopathie au cours de maladies bactériennes classées ailleurs,pneumopathie (au cours de) (due à) actinomycose,H,independent,,RF,21/05/2026,false
A43.0,nocardiose pulmonaire,J17.0,pneumopathie au cours de maladies bactériennes classées ailleurs,pneumopathie (au cours de) (due à) nocardiose,H,independent,,RF,21/05/2026,false
A46,érysipèle,H62.0,otite externe au cours de maladies bactériennes classées ailleurs,otite externe au cours d'érysipèle,H,independent,,RF,21/05/2026,false
A50.0,"syphilis congénitale précoce, symptomatique",H58.8,autres affections précisées de l'oeil et de ses annexes au cours de maladies classées ailleurs,oculopathie syphilitique NCA congénitale précoce,H,independent,,RF,21/05/2026,false
A50.3,oculopathie syphilitique congénitale tardive,H19.2,kératite et kératoconjonctivite au cours d'autres maladies infectieuses et parasitaires classées ailleurs,kératite interstitielle syphilitique congénitale tardive | kératite et kératoconjonctivite (insterstitielles) au cours de (dues à) syphilis,"H, U",subordinate,,RF,21/05/2026,false
A50.3,oculopathie syphilitique congénitale tardive,H58.8,autres affections précisées de l'oeil et de ses annexes au cours de maladies classées ailleurs,oculopathie syphilitique congénitale tardive NCA | oculopathie syphilitique NCA congénitale tardive,"H, U",independent,,RF,21/05/2026,false
A50.4,syphilis congénitale nerveuse tardive [neuro-syphilis juvénile],G01,méningite au cours d'affections bactériennes classées ailleurs,méningite syphilitique congénitale tardive | méningite (au cours de) syphilitique congénitale,"H, U",independent,,RF,21/05/2026,false
A50.4,syphilis congénitale nerveuse tardive [neuro-syphilis juvénile],G05.0,"encéphalite, myélite et encéphalomyélite au cours d'infections bactériennes classées ailleurs","encéphalite syphilitique congénitale tardive | encéphalite, myélite ou encéphalomyélite syphilitique congénitale","H, U",independent,,RF,21/05/2026,false
A50.4,syphilis congénitale nerveuse tardive [neuro-syphilis juvénile],G63.0,polynévrite au cours de maladies infectieuses et parasitaires classées ailleurs,"polynévrite syphilitique congénitale tardive | polynévrite (au cours de) syphilis, tardive congénitale","H, U",independent,,RF,21/05/2026,false
A50.5,"autres formes tardives de syphilis congénitale, symptomatique",I98.0,syphilis cardio-vasculaire,syphilis cardio-vasculaire congénitale tardive,"H, U",independent,,RF,21/05/2026,false
A50.5,"autres formes tardives de syphilis congénitale, symptomatique",M03.1,arthropathie syphilitique post-infectieuse,maladie de Clutton | arthropathie syphilitique congénitale tardive,"H, U",independent,,RF,21/05/2026,false
A50.5,"autres formes tardives de syphilis congénitale, symptomatique",M90.2,ostéopathie au cours d'autres maladies infectieuses classées ailleurs,ostéochondropathie syphilitique congénitale tardive | ostéopathie ou ostéochondropathie syphilitique,"H, U",independent,,RF,21/05/2026,false
A51.3,syphilis secondaire de la peau et des muqueuses,L99.8,autres affections précisées de la peau et du tissu cellulaire sous-cutané au cours de maladies classées ailleurs,alopécie syphilitique | leucodermie syphilitique,"H, U",independent,,RF,21/05/2026,false
A51.4,autres formes de syphilis secondaire,G01,méningite au cours d'affections bactériennes classées ailleurs,méningite syphilitique secondaire | méningite (au cours de) syphilitique secondaire,"H, U",independent,,RF,21/05/2026,false
